*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
Grevenbroich' Gustorfer Hoehe;Grevnb;;51.04'633"N;006.32'817"E;89;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Griesau;Gris;;48.57'280"N;012.25'370"E;323;768;Sonderlandeplatz;1060;EDPG;122.600;1;445;330;3;Gras;1
Grifte (Edermuende);Grift(;;51.13'250"N;009.26'800"E;200;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Grosse Hoehe' Stadt Delmenhorst;GrossH;;52.59'183"N;008.34'333"E;20;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;1;Asphalt;1
Grosse Wiese b Wolfenbuettel;GrossW;;52.08'383"N;010.34'067"E;78;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Grossenhain;Grossn;;51.18'400"N;013.33'300"E;127;768;Sonderlandeplatz;1060;EDAK;122.700;1;1640;300;0;Beton;1
Grosses Moor b. Hannov.;Grosss;;52.32'217"N;010.01'283"E;43;1792;Segelfluggel‰nde;1060;;122.200;1;0;0;5;Belag unbekannt;1
Grossrueckerswalde;Grossr;;50.38'600"N;013.07'680"E;670;768;Sonderlandeplatz;1060;EDAG;123.000;1;1000;290;3;Gras;1
Grube;Grube;;54.14'700"N;011.01'500"E;2;768;Sonderlandeplatz;1060;EDHB;122.600;1;500;270;3;Gras;1
Gruenstadt Quirnheimer Berg;Grunst;;49.35'133"N;008.07'833"E;3115;1792;Segelfluggel‰nde;1060;;122.300;1;0;0;5;Belag unbekannt;1
Gruibingen-Nortel;Grubng;;48.37'283"N;009.39'350"E;706;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Guenterode;Guentr;;51.24'567"N;010.08'850"E;363;1792;Segelfluggel‰nde;1060;;122.200;1;0;0;5;Belag unbekannt;1
Guenzburg-Donauried;Guenzb;;48.29'280"N;010.17'080"E;444;768;Sonderlandeplatz;1060;EDMG;118.125;1;580;240;3;Gras;1
Guestrow;Guestr;;53.48'400"N;012.13'930"E;14;768;Sonderlandeplatz;1060;EDCU;122.000;1;700;270;3;Gras;1
Guetersloh (mil/civ);Guetrs;;51.55'400"N;008.18'500"E;72;768;Sonderlandeplatz;1060;ETUO;124.250;1;2252;270;0;Beton;1
Guettin-Ruegen;Guettn;;54.23'000"N;013.19'500"E;21;768;Sonderlandeplatz;1060;EDCG;123.000;1;900;260;1;Asphalt;1
Gundelfingen;Gundlf;;48.34'200"N;010.21'600"E;441;768;Sonderlandeplatz;1060;EDMU;122.500;1;480;280;3;Gras;1
Gunzenhausen-Reutberg;Gunznh;;49.06'780"N;010.46'980"E;485;768;Sonderlandeplatz;1060;EDMH;118.550;1;530;240;1;Asphalt;1
HAGEN HOF 15M;HAGE"N;;51.18'450"N;007.25'617"E;200;768;Sonderlandeplatz;1060;!;129.975;0;400;100;3;Gras;1
HALBMEIL        *FL06;HALBM;;48.17'750"N;008.15'417"E;290;2816;Auﬂenlandefeld;1060;;1  .  0;0;170;140;4;sonstiger Belag;1
HASLACH         *FL08;HASCH;;48.17'267"N;008.04'150"E;210;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;140;4;sonstiger Belag;1
HAUSACH         *FL07;HAUAC;;48.17'117"N;008.09'733"E;230;2816;Auﬂenlandefeld;1060;;1  .  0;0;600;100;4;sonstiger Belag;1
HAUSEN          *FELD;HAUE"N;;47.40'450"N;007.50'583"E;400;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;20;4;sonstiger Belag;1
HELM UNTERTHAL  *;HELMU;;50.09'350"N;009.52'633"E;300;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;180;3;Gras;1
HERRISCHRIED    *FELD;HERRI;;47.40'517"N;008.00'467"E;920;2816;Auﬂenlandefeld;1060;;1  .  0;0;250;120;4;sonstiger Belag;1
HOECHENSCHWAND1 *FELD;HOE11;;47.43'667"N;008.10'667"E;980;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;110;4;sonstiger Belag;1
HOFFELD PRUEFE"N;HOFF"E;;48.25'283"N;010.09'100"E;472;768;Sonderlandeplatz;1060;?;1  .  0;0;700;70;3;Gras;1
Hahn;Hahn;;49.56'970"N;007.15'900"E;503;1024;Flughafen;1060;EDFH;119.650;1;3045;210;1;Asphalt;1
Haiterbach-Nagold;Haitrb;;48.31'900"N;008.40'600"E;595;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Halle-Oppin;HallOp;;51.33'100"N;012.03'250"E;106;768;Sonderlandeplatz;1060;EDAQ;135.150;1;1060;290;1;Asphalt;1
Hallertau;Hallrt;;48.38'983"N;011.35'850"E;385;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Halver im Heede;Halvrm;;51.10'433"N;007.30'700"E;418;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Hamburg;Hambrg;;53.37'800"N;009.59'370"E;16;256;Internationaler Flugplatz;1060;EDDH;126.850;1;3250;51;0;Beton;1
Hamburg-Finkenwerder;Hambr1;;53.32'200"N;009.50'200"E;5;768;Sonderlandeplatz;1060;EDHI;123.250;1;1875;230;0;Beton;1
Hamm-Lippewiesen;HammLp;;51.41'480"N;007.49'050"E;58;768;Sonderlandeplatz;1060;EDLH;122.625;1;730;240;3;Gras;1
Hanau;Hanau;;50.10'100"N;008.57'700"E;0;512;milit‰rischer Flugplatz;1060;ETID;122.100;1;916;280;0;Beton;1
Hangensteiner Hof;Hangns;;48.55'250"N;008.49'417"E;295;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Hannover;Hannvr;;52.27'600"N;009.41'080"E;56;256;Internationaler Flugplatz;1060;EDDV;120.175;1;2340;93;1;Asphalt;1
Harle;Harle;;53.42'400"N;007.49'330"E;2;768;Sonderlandeplatz;1060;EDXP;122.400;1;510;270;1;Asphalt;1
Hartenholm;Hartnh;;53.55'000"N;010.02'400"E;33;768;Sonderlandeplatz;1060;EDHM;118.125;1;506;230;1;Asphalt;1
