*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
Kirchheim-T./Hahnweide;Kirchh;;48.37'917"N;009.25'917"E;352;1792;Segelfluggel‰nde;1060;;123.250;1;0;0;5;Belag unbekannt;1
Kirchzarten;Kirchz;;47.57'100"N;007.57'350"E;409;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Kirn;Kirn;;49.47'000"N;007.30'833"E;435;1792;Segelfluggel‰nde;1060;;122.300;1;0;0;5;Belag unbekannt;1
Kitzingen;Kitzng;;49.44'600"N;010.12'200"E;200;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Klein Gartz;KlenGr;;52.49'750"N;011.19'167"E;34;1792;Segelfluggel‰nde;1060;;122.200;1;0;0;5;Belag unbekannt;1
Klein Muehlingen;KlenMh;;51.56'900"N;011.46'200"E;52;768;Sonderlandeplatz;1060;EDOM;122.000;1;420;270;3;Gras;1
Kleve-Wisseler Duenen;KlevWs;;51.45'967"N;006.17'950"E;18;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Klietz-Scharlibbe;KlitzS;;52.42'600"N;012.04'400"E;29;768;Sonderlandeplatz;1060;EDCL;122.375;1;610;350;3;Gras;1
Klippeneck;Klippn;;48.06'450"N;008.45'767"E;950;1792;Segelfluggel‰nde;1060;;122.175;1;0;0;5;Belag unbekannt;1
Klix;Klix;;51.16'400"N;014.30'400"E;148;768;Sonderlandeplatz;1060;EDCI;122.200;1;760;280;3;Gras;1
Koblenz-Winningen;Koblnz;;50.19'530"N;007.31'700"E;195;768;Sonderlandeplatz;1060;EDRK;122.650;1;995;240;1;Asphalt;1
Koeln-Bonn;KoelnB;;50.52'030"N;007.08'620"E;91;256;Internationaler Flugplatz;1060;EDDK;124.975;1;2459;66;0;Beton;1
Koenigsdorf;Koengs;;47.49'817"N;011.27'733"E;601;1792;Segelfluggel‰nde;1060;;118.275;1;0;0;5;Belag unbekannt;1
Koethen;Koethn;;51.43'430"N;011.56'800"E;93;768;Sonderlandeplatz;1060;EDCK;123.650;1;800;250;0;Beton;1
Konstanz;Konstn;;47.40'970"N;009.08'300"E;397;768;Sonderlandeplatz;1060;EDTZ;119.900;1;615;300;3;Gras;1
Konz-Koenen;KonzKn;;49.40'667"N;006.32'633"E;215;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Korbach;Korbch;;51.15'320"N;008.52'630"E;390;768;Sonderlandeplatz;1060;EDGK;119.975;1;600;210;3;Gras;1
Krefeld-Egelsberg;Krefld;;51.23'250"N;006.35'150"E;43;768;Sonderlandeplatz;1060;EDLK;122.850;1;640;240;3;Gras;1
Kronach;Kronch;;50.14'617"N;011.21'567"E;453;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Kuehrstedt-Bederkesa;Kuehrs;;53.34'150"N;008.47'400"E;8;768;Sonderlandeplatz;1060;EDXZ;122.625;1;396;300;3;Gras;1
Kulmbach;Kulmbc;;50.08'170"N;011.27'500"E;506;768;Sonderlandeplatz;1060;EDQK;118.525;1;719;270;1;Asphalt;1
Kusel-Langenbach;KuslLn;;49.28'750"N;007.18'617"E;450;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Kyritz;Kyritz;;52.55'250"N;012.25'500"E;40;768;Sonderlandeplatz;1060;EDBK;122.725;1;1000;320;1;Asphalt;1
LANGENBRAND     *FL13;LANXX;;48.48'333"N;008.37'617"E;700;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;330;4;sonstiger Belag;1
LASSAHN         *AGRA;LASSA;;53.36'567"N;010.58'883"E;72;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;90;0;Beton;1
LENZKIRCH       *FELD;LENZK;;47.52'183"N;008.11'367"E;865;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;90;4;sonstiger Belag;1
LEUTHEN AGRAR   *AGR?;LEUTH;;51.41'317"N;014.15'567"E;85;2816;Auﬂenlandefeld;1060;;1  .  0;0;600;30;3;Gras;1
LOMBACH         *FL01;LOMBA;;48.25'617"N;008.27'767"E;660;2816;Auﬂenlandefeld;1060;;1  .  0;0;220;100;4;sonstiger Belag;1
LUDWIGSBURG PATT;LUDBU;;48.51'850"N;009.13'483"E;290;768;Sonderlandeplatz;1060;S-!;122.100;0;800;110;3;Gras;1
Laarbruch;Laarbr;;51.36'200"N;006.08'700"E;32;512;milit‰rischer Flugplatz;1060;;122.100;1;2442;95;0;Beton;1
Lachen-Speyerdorf;LachnS;;49.19'920"N;008.12'370"E;120;768;Sonderlandeplatz;1060;EDRL;118.175;1;1000;300;3;Gras;1
Lager Hammelburg;LagrHm;;50.05'980"N;009.53'080"E;345;768;Sonderlandeplatz;1060;EDFJ;118.425;1;553;280;1;Asphalt;1
Lahr;Lahr;;48.22'200"N;007.49'700"E;155;1024;Flughafen;1060;EDTL;125.175;1;3000;210;0;Beton;1
Laichingen;Laichn;;48.29'850"N;009.38'420"E;742;768;Sonderlandeplatz;1060;EDPJ;127.700;1;402;71;1;Asphalt;1
Landau-Ebenberg;LandEb;;49.10'650"N;008.08'150"E;160;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Landsberg/Lech;Landsb;;48.04'233"N;010.54'367"E;620;1792;Segelfluggel‰nde;1060;;129.850;1;0;0;5;Belag unbekannt;1
Landshut;Landsh;;48.30'820"N;012.02'180"E;400;768;Sonderlandeplatz;1060;EDML;129.800;1;900;250;1;Asphalt;1
Langenberg bei Hattenbach;Langnb;;50.47'867"N;009.33'750"E;350;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Langenfeld-Wiescheid;Langnf;;51.08'483"N;006.59'117"E;86;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Langenlonsheim;Langnl;;49.54'500"N;007.54'500"E;90;768;Sonderlandeplatz;1060;EDEL;122.875;1;450;190;3;Gras;1
Langenselbold;Langns;;50.10'500"N;009.03'600"E;120;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Langeoog;Langg;;53.44'670"N;007.29'970"E;2;768;Sonderlandeplatz;1060;EDWL;122.025;1;600;61;0;Beton;1
Langhennersdorf;Langhn;;50.56'800"N;013.15'770"E;386;768;Sonderlandeplatz;1060;EDOH;122.300;1;900;230;3;Gras;1
Laucha;Laucha;;51.14'800"N;011.41'600"E;225;768;Sonderlandeplatz;1060;EDBL;123.350;1;720;270;3;Gras;1
Lauenbrueck;Launbr;;53.12'400"N;009.34'400"E;30;768;Sonderlandeplatz;1060;EDHU;123.650;1;600;290;3;Gras;1
Lauf-Lillinghof;LaufLl;;49.36'350"N;011.17'000"E;545;768;Sonderlandeplatz;1060;EDQI;122.000;1;450;74;1;Asphalt;1
Laufenselden;Laufns;;50.13'533"N;007.59'950"E;400;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Laupheim;Lauphm;;48.13'333"N;009.54'417"E;538;512;milit‰rischer Flugplatz;1060;ETHL;122.100;1;1646;90;1;Asphalt;1
Lauterbach;Lautrb;;50.41'070"N;009.24'680"E;369;768;Sonderlandeplatz;1060;EDFT;122.175;1;680;67;3;Gras;1
Lechfeld;Lechfl;;48.11'133"N;010.51'667"E;475;1792;Segelfluggel‰nde;1060;;135.150;1;0;0;5;Belag unbekannt;1
Leck;Leck;;54.47'400"N;008.57'700"E;7;768;Sonderlandeplatz;1060;EDXK;122.600;1;820;120;3;Gras;1
Leer-Papenburg;LeerPp;;53.16'300"N;007.26'630"E;1;768;Sonderlandeplatz;1060;EDWF;130.775;1;800;260;1;Asphalt;1
Leibertingen;Leibrt;;48.02'467"N;009.01'817"E;830;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Leipheim;Leiphm;;48.26'350"N;010.14'033"E;477;1792;Segelfluggel‰nde;1060;;122.500;1;0;0;5;Belag unbekannt;1
Leipzig-Halle;Leipzg;;51.25'400"N;012.14'200"E;142;256;Internationaler Flugplatz;1060;EDDP;121.100;1;2500;280;0;Beton;1
Lemwerder;Lemwrd;;53.08'680"N;008.37'470"E;6;1024;Flughafen;1060;EDWD;122.350;1;1900;340;0;Beton;1
Leutkirch-Unterzeil;Leutkr;;47.51'580"N;010.00'930"E;640;768;Sonderlandeplatz;1060;EDNL;122.875;1;810;240;1;Asphalt;1
Leuzendorf;Leuznd;;49.21'117"N;010.04'517"E;461;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Leverkusen;Levrks;;51.01'000"N;007.00'420"E;48;768;Sonderlandeplatz;1060;EDKL;122.425;1;700;330;3;Gras;1
Lichtenfels;Lichtn;;50.08'970"N;011.02'800"E;260;768;Sonderlandeplatz;1060;EDQL;123.000;1;700;220;3;Gras;1
Lindlar;Lindlr;;50.59'667"N;007.22'333"E;311;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Linkenheim;Linknh;;49.08'530"N;008.23'730"E;99;768;Sonderlandeplatz;1060;EDRI;122.600;1;630;230;3;Gras;1
Loechgau;Loechg;;49.00'067"N;009.04'950"E;266;1792;Segelfluggel‰nde;1060;;123.475;1;0;0;5;Belag unbekannt;1
Ludwigshafen-Dannstadt;Ludwgs;;49.24'700"N;008.20'900"E;96;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Luebeck-Blankensee;Luebck;;53.48'300"N;010.43'200"E;16;1024;Flughafen;1060;EDHL;128.700;1;1800;250;0;Beton;1
Luechow-Rehbeck;Luechw;;53.01'000"N;011.08'730"E;15;768;Sonderlandeplatz;1060;EDHC;122.500;1;650;340;1;Asphalt;1
Lueneburg;Luenbr;;53.14'800"N;010.27'600"E;49;768;Sonderlandeplatz;1060;EDHG;122.175;1;780;250;3;Gras;1
Luenen-Lippeweiden;LuennL;;51.37'050"N;007.30'100"E;49;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Luesse;Luesse;;52.08'700"N;012.40'200"E;65;768;Sonderlandeplatz;1060;EDOJ;129.975;1;1020;250;3;Gras;1
MEISTERN        *FL09;MEIST;;48.41'567"N;008.32'700"E;550;2816;Auﬂenlandefeld;1060;;1  .  0;0;250;260;4;sonstiger Belag;1
MITTELTAL       *FL02;MITTL;;48.31'367"N;008.19'650"E;610;2816;Auﬂenlandefeld;1060;;1  .  0;0;150;40;4;sonstiger Belag;1
MOOSBURG AUF KIP;MOOSB;;48.27'400"N;011.56'483"E;421;768;Sonderlandeplatz;1060;S-!;123.650;0;850;40;3;Gras;1
Magdeburg;Magdbr;;52.04'400"N;011.37'600"E;81;1024;Flughafen;1060;EDBM;119.300;1;1000;270;0;Beton;1
Mainbullau;Mainbl;;49.41'770"N;009.10'980"E;458;768;Sonderlandeplatz;1060;EDFU;122.375;1;703;230;1;Asphalt;1
Mainz-Finthen;MainzF;;49.58'180"N;008.08'930"E;232;768;Sonderlandeplatz;1060;EDFZ;122.925;1;1000;80;0;Beton;1
Malmsheim;Malmsh;;48.46'967"N;008.55'100"E;450;1792;Segelfluggel‰nde;1060;;122.200;1;0;0;5;Belag unbekannt;1
Malsch;Malsch;;49.14'233"N;008.40'700"E;128;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Mannheim City;Mannhm;;49.28'420"N;008.31'000"E;94;1024;Flughafen;1060;EDFM;118.400;1;1066;94;1;Asphalt;1
Marburg-Schoenstadt;Marbrg;;50.52'400"N;008.48'800"E;254;768;Sonderlandeplatz;1060;EDF"N;123.000;1;750;220;3;Gras;1
Markdorf;Markdr;;47.42'367"N;009.23'300"E;425;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Marl-Loemuehle;MarlLm;;51.38'800"N;007.09'870"E;73;768;Sonderlandeplatz;1060;EDLM;122.000;1;702;250;1;Asphalt;1
Marpingen;Marpng;;49.27'183"N;007.02'350"E;360;1792;Segelfluggel‰nde;1060;;123.475;1;0;0;5;Belag unbekannt;1
Meiersberg;Meirsb;;51.17'933"N;006.57'450"E;146;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Meinerzhagen;Meinrz;;51.06'130"N;007.36'030"E;472;768;Sonderlandeplatz;1060;EDKZ;130.600;1;820;250;1;Asphalt;1
Melle-Groenegau;MellGr;;52.12'130"N;008.22'720"E;72;768;Sonderlandeplatz;1060;EDXG;123.650;1;609;270;1;Asphalt;1
Memmingen;Memmng;;47.59'333"N;010.14'367"E;628;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Menden-Barge;MendnB;;51.27'000"N;007.49'950"E;206;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Mendig;Mendig;;50.22'000"N;007.19'983"E;174;1792;Segelfluggel‰nde;1060;;122.100;1;0;0;5;Belag unbekannt;1
Mengen-Hohentengen;MengnH;;48.03'280"N;009.22'430"E;554;768;Sonderlandeplatz;1060;EDTM;122.375;1;1301;260;0;Beton;1
Mengeringhausen;Mengrn;;51.22'670"N;008.58'930"E;363;768;Sonderlandeplatz;1060;EDVG;121.025;1;540;300;3;Gras;1
Meppen;Meppen;;52.43'400"N;007.19'700"E;20;512;milit‰rischer Flugplatz;1060;ETWM;122.100;1;600;50;3;Gras;1
Merseburg;Mersbr;;51.21'800"N;011.56'500"E;104;768;Sonderlandeplatz;1060;EDAM;122.900;1;1140;260;0;Beton;1
Meschede-Schueren;Meschd;;51.18'100"N;008.14'200"E;438;768;Sonderlandeplatz;1060;EDKM;122.050;1;700;220;1;Asphalt;1
Michelbach;Michlb;;50.13'217"N;008.04'200"E;301;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Michelstadt/Odw;Michls;;49.40'750"N;008.58'400"E;348;768;Sonderlandeplatz;1060;EDFO;123.650;1;475;260;1;Asphalt;1
Mindelheim-Mattsies;Mindlh;;48.06'580"N;010.31'530"E;566;768;Sonderlandeplatz;1060;EDM"N;122.975;1;720;330;1;Asphalt;1
Moeckmuehl-Korb;Moeckm;;49.20'667"N;009.24'100"E;339;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Moenchengladbach;Moench;;51.13'800"N;006.30'320"E;38;1024;Flughafen;1060;EDL"N;118.125;1;1200;310;0;Beton;1
Moenchsheide;Moenc1;;50.30'550"N;007.15'417"E;205;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Montabaur;Montbr;;50.25'500"N;007.49'667"E;261;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Mosbach-Lohrbach;Mosbch;;49.24'000"N;009.07'500"E;330;768;Sonderlandeplatz;1060;EDGM;122.850;1;540;330;1;Asphalt;1
Mosenberg;Mosnbr;;51.03'850"N;009.25'380"E;395;768;Sonderlandeplatz;1060;EDEM;123.050;1;511;250;3;Gras;1
Muehldorf;Muehld;;48.16'700"N;012.30'370"E;404;768;Sonderlandeplatz;1060;EDMY;119.775;1;773;260;1;Asphalt;1
Muehlhausen;Muehlh;;51.12'900"N;010.32'600"E;248;768;Sonderlandeplatz;1060;EDEQ;122.850;1;900;260;0;Beton;1
Muelben;Muelbn;;49.27'183"N;009.06'333"E;515;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Muellheim;Muellh;;47.49'283"N;007.38'417"E;291;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Muenchen;Muench;;48.21'280"N;011.47'250"E;453;256;Internationaler Flugplatz;1060;EDDM;118.700;1;4000;83;0;Beton;1
Muensingen-Eisberg;Muensn;;48.24'567"N;009.26'467"E;725;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Muenster-Osnabrueck;Muenst;;52.08'170"N;007.41'130"E;48;256;Internationaler Flugplatz;1060;EDDG;129.800;1;2170;250;0;Beton;1
Muenster-Telgte;Muens1;;51.56'770"N;007.46'420"E;54;768;Sonderlandeplatz;1060;EDLT;122.850;1;650;280;1;Asphalt;1
Musbach;Musbch;;48.30'167"N;008.28'700"E;695;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
NEUBIBERG;NEUBI;;48.04'417"N;011.38'283"E;576;1792;Segelfluggel‰nde;1060;;1  .  0;0;2400;70;0;Beton;1
NEUWEILER       *FL06;NEU22;;48.39'267"N;008.36'367"E;660;2816;Auﬂenlandefeld;1060;;1  .  0;0;200;90;4;sonstiger Belag;1
NUSSBACH        *FL05;NUSBA;;48.32'267"N;008.02'333"E;170;2816;Auﬂenlandefeld;1060;;1  .  0;0;200;120;4;sonstiger Belag;1
Nabern-Teck;NabrnT;;48.36'800"N;009.28'600"E;370;768;Sonderlandeplatz;1060;EDT"N;118.325;1;570;320;3;Gras;1
Nannhausen;Nannhs;;49.58'270"N;007.28'800"E;373;768;Sonderlandeplatz;1060;EDR"N;130.600;1;560;240;3;Gras;1
Nardt;Nardt;;51.27'080"N;014.12'080"E;117;768;Sonderlandeplatz;1060;EDAT;123.000;1;480;260;3;Gras;1
Nastaetten;Nasttt;;50.11'833"N;007.53'500"E;366;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Nauen;Nauen;;52.37'670"N;012.54'830"E;34;768;Sonderlandeplatz;1060;EDC"N;119.750;1;850;290;3;Gras;1
Neresheim;Nershm;;48.44'483"N;010.19'533"E;541;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Neu-Guelze;NeuGlz;;53.22'900"N;010.48'300"E;12;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Neubrandenburg;Neubrn;;53.36'170"N;013.18'430"E;69;1024;Flughafen;1060;ETNU;119.175;1;2293;270;0;Beton;1
Neuburg-Egweil;Neubrg;;48.47'000"N;011.13'330"E;410;768;Sonderlandeplatz;1060;EDNJ;123.475;1;558;260;3;Gras;1
Neuburg-Zell;Neubr1;;48.42'667"N;011.12'700"E;380;1792;Segelfluggel‰nde;1060;;129.850;1;0;0;5;Belag unbekannt;1
Neuhausen;Neuhsn;;51.41'170"N;014.25'500"E;85;768;Sonderlandeplatz;1060;EDAP;122.725;1;800;270;3;Gras;1
Neuhausen ob Eck;Neuhs1;;47.58'400"N;008.54'200"E;802;768;Sonderlandeplatz;1060;EDS"N;130.500;1;1248;270;1;Asphalt;1
Neumagen-Dhron;Neumgn;;49.50'630"N;006.55'020"E;268;768;Sonderlandeplatz;1060;EDRD;118.175;1;750;270;3;Gras;1
Neumarkt/Oberpfalz;Neumrk;;49.17'100"N;011.26'770"E;425;768;Sonderlandeplatz;1060;EDPO;119.975;1;597;270;1;Asphalt;1
Neumuenster;Neumns;;54.04'700"N;009.56'400"E;22;768;Sonderlandeplatz;1060;EDH"N;123.000;1;550;8;1;Asphalt;1
Neunkirchen-Bexbach;Neunkr;;49.20'117"N;007.15'950"E;272;1792;Segelfluggel‰nde;1060;;123.050;1;0;0;5;Belag unbekannt;1
Neustadt-Glewe;Neustd;;53.21'750"N;011.37'000"E;35;768;Sonderlandeplatz;1060;EDA"N;123.375;1;1200;270;3;Gras;1
Neustadt/Aisch;Neust1;;49.35'300"N;010.34'700"E;365;768;Sonderlandeplatz;1060;EDQ"N;118.925;1;600;270;1;Asphalt;1
Nidda;Nidda;;50.23'933"N;008.58'933"E;166;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Niederstetten;Niedrs;;49.23'600"N;009.57'600"E;468;1024;Flughafen;1060;ETH"N;119.775;1;1012;254;0;Beton;1
Nienburg-Holzbalge;Nienbr;;52.42'670"N;009.09'820"E;25;768;Sonderlandeplatz;1060;EDXI;122.000;1;580;270;3;Gras;1
Nittenau-Bruck/Opf;NittnB;;49.13'420"N;012.17'880"E;354;768;Sonderlandeplatz;1060;EDNM;118.925;1;553;190;1;Asphalt;1
Noerdlingen;Noerdl;;48.52'420"N;010.30'380"E;422;768;Sonderlandeplatz;1060;EDNO;133.075;1;500;220;1;Asphalt;1
Noervenich;Noervn;;50.49'083"N;006.39'050"E;117;512;milit‰rischer Flugplatz;1060;ETN"N;122.100;1;2439;70;0;Beton;1
Norden-Norddeich;Nordn"N;;53.38'080"N;007.11'420"E;1;768;Sonderlandeplatz;1060;EDWS;120.500;1;660;340;1;Asphalt;1
Nordenbeck;Nordnb;;51.14'100"N;008.49'100"E;443;768;Sonderlandeplatz;1060;EDG"N;122.500;1;600;260;3;Gras;1
Norderney;Nordrn;;53.42'520"N;007.13'770"E;2;768;Sonderlandeplatz;1060;EDWY;122.600;1;1000;270;1;Asphalt;1
Nordhausen;Nordhs;;51.29'670"N;010.50'080"E;210;768;Sonderlandeplatz;1060;EDAO;118.625;1;895;280;3;Gras;1
Nordholz-Spieka;Nordhl;;53.46'000"N;008.38'680"E;22;768;Sonderlandeplatz;1060;EDX"N;121.025;1;625;260;3;Gras;1
Nordhorn-Lingen;Nordhr;;52.27'550"N;007.11'150"E;27;768;Sonderlandeplatz;1060;EDW"N;122.650;1;680;240;1;Asphalt;1
Northeim;Northm;;51.42'480"N;010.02'300"E;123;768;Sonderlandeplatz;1060;EDV"N;118.700;1;665;290;3;Gras;1
Nuernberg;Nuernb;;49.29'980"N;011.04'750"E;319;256;Internationaler Flugplatz;1060;EDD"N;118.300;1;2700;280;0;Beton;1
OBERHAMERSBACH  *FL10;OBEXX;;48.21'983"N;008.07'000"E;270;2816;Auﬂenlandefeld;1060;;1  .  0;0;250;40;4;sonstiger Belag;1
OBERKOLLWANGEN  *FL10;OBRKW;;48.40'833"N;008.36'867"E;680;2816;Auﬂenlandefeld;1060;;1  .  0;0;260;340;4;sonstiger Belag;1
OELDE BERGELER;OELD"E;;51.49'833"N;008.10'467"E;91;768;Sonderlandeplatz;1060;S-!;122.800;0;550;60;3;Gras;1
OLDENBURG  MIL;OLDNM;;53.10'800"N;008.09'667"E;12;1792;Segelfluggel‰nde;1060;;122.100;0;2110;100;1;Asphalt;1
ORANIENIENBURG;ORANI;;52.43'433"N;013.12'917"E;36;768;Sonderlandeplatz;1060;?;1  .  0;0;0;130;3;Gras;1
ORTENBERG       *FL11;ORTE"N;;48.26'517"N;007.57'683"E;160;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;150;4;sonstiger Belag;1
Ober-Moerlen;OberMr;;50.21'780"N;008.42'700"E;247;768;Sonderlandeplatz;1060;EDFP;122.850;1;310;230;3;Gras;1
Oberems;Oberms;;50.14'600"N;008.23'867"E;400;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Oberhinkofen;Oberhn;;48.56'933"N;012.08'567"E;396;1792;Segelfluggel‰nde;1060;;122.300;1;0;0;5;Belag unbekannt;1
Obermehler-Schlotheim;Obermh;;51.16'100"N;010.38'100"E;277;768;Sonderlandeplatz;1060;EDCO;122.900;1;1450;290;1;Asphalt;1
Oberpfaffenhofen;Oberpf;;48.04'900"N;011.17'000"E;594;1024;Flughafen;1060;EDMO;119.550;1;2286;220;0;Beton;1
Oberrissdorf;Oberrs;;51.32'600"N;011.35'800"E;225;768;Sonderlandeplatz;1060;EDUO;122.300;1;600;320;3;Gras;1
Oberschleissheim;Obersc;;48.14'380"N;011.33'600"E;486;768;Sonderlandeplatz;1060;EDNX;130.700;1;808;260;1;Asphalt;1
Ochsenfurt;Ochsnf;;49.40'520"N;010.04'370"E;248;768;Sonderlandeplatz;1060;EDGJ;123.000;1;512;280;3;Gras;1
Ochsenhausen;Ochsnh;;48.03'183"N;009.54'933"E;650;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Oehna;Oehna;;51.53'920"N;013.03'420"E;87;768;Sonderlandeplatz;1060;EDBO;122.500;1;850;260;1;Asphalt;1
Oerlinghausen;Oerlng;;51.55'950"N;008.39'870"E;170;768;Sonderlandeplatz;1060;EDLO;122.175;1;520;220;1;Asphalt;1
Oeventropp Ruhrwiesen;Oevntr;;51.23'750"N;008.08'867"E;211;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Offenburg;Offnbr;;48.27'050"N;007.55'530"E;155;768;Sonderlandeplatz;1060;EDTO;119.750;1;910;200;1;Asphalt;1
Oldenburg-Hatten;Oldnbr;;53.04'230"N;008.18'870"E;8;768;Sonderlandeplatz;1060;EDWH;118.175;1;596;240;3;Gras;1
Oppenheim;Oppnhm;;49.50'500"N;008.22'670"E;85;768;Sonderlandeplatz;1060;EDGP;122.000;1;800;200;3;Gras;1
Oppershausen;Opprsh;;52.35'767"N;010.13'317"E;43;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Oppingen-Au;Oppngn;;48.33'317"N;009.49'283"E;680;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Oschatz;Oschtz;;51.17'830"N;013.04'700"E;153;768;Sonderlandeplatz;1060;EDOQ;122.200;1;755;260;3;Gras;1
Oschersleben;Oschrs;;52.02'400"N;011.12'200"E;104;768;Sonderlandeplatz;1060;EDOL;122.400;1;600;290;3;Gras;1
Osnabrueck-Atterheide;Osnbrc;;52.17'270"N;007.58'450"E;87;768;Sonderlandeplatz;1060;EDWO;118.675;1;800;270;1;Asphalt;1
Osterholz-Scharmbeck;Ostrhl;;53.12'833"N;008.48'633"E;2;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Ottenberg;Ottnbr;;49.19'683"N;011.28'433"E;560;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Ottengruener Heide;Ottngr;;50.13'620"N;011.44'030"E;573;768;Sonderlandeplatz;1060;EDQO;123.000;1;500;290;1;Asphalt;1
PELLWORM;PELLW;;54.32'467"N;008.41'167"E;1;1792;Segelfluggel‰nde;1060;;123.000;0;530;110;3;Gras;1
PFERDSFELD;PFERD;;49.51'300"N;007.36'317"E;397;1792;Segelfluggel‰nde;1060;;122.100;0;2420;90;1;Asphalt;1
POEL AGRAR      *AGRA;POELA;;54.00'167"N;011.27'683"E;19;2816;Auﬂenlandefeld;1060;;1  .  0;0;400;80;0;Beton;1
PRETZIER AGRA   *AGR?;PRETZ;;52.50'267"N;011.16'317"E;37;2816;Auﬂenlandefeld;1060;;1  .  0;0;830;100;3;Gras;1
Paderborn-Haxterberg;Padrbr;;51.41'380"N;008.46'550"E;244;768;Sonderlandeplatz;1060;EDLR;129.000;1;750;240;3;Gras;1
Paderborn-Lippstadt;Padrb1;;51.36'800"N;008.37'030"E;213;1024;Flughafen;1060;EDLP;118.275;1;2180;240;0;Beton;1
Parchim;Parchm;;53.25'250"N;011.48'480"E;44;768;Sonderlandeplatz;1060;;123.500;1;750;250;3;Gras;1
Pasewalk;Paswlk;;53.30'350"N;013.57'020"E;22;768;Sonderlandeplatz;1060;EDCV;123.650;1;900;270;3;Gras;1
Paterzell;Patrzl;;47.50'950"N;011.03'717"E;610;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Peenemuende;Peenmn;;54.09'580"N;013.46'400"E;2;768;Sonderlandeplatz;1060;EDCP;122.300;1;2400;320;0;Beton;1
Pegnitz-Zipser Berg;Pegntz;;49.45'700"N;011.34'570"E;546;768;Sonderlandeplatz;1060;EDQZ;132.025;1;884;270;3;Gras;1
